X	y	y_2std
-1.000000000000000000e+01	-3.515264570222687602e-44	4.755159684443365009e+00
-9.949999999999999289e+00	-1.080372517162117212e-43	4.755159684443365009e+00
-9.899999999999998579e+00	-3.299685269108410457e-43	4.755159684443365009e+00
-9.849999999999997868e+00	-1.001509301097252746e-42	4.755159684443365009e+00
-9.799999999999997158e+00	-3.020792783142930141e-42	4.755159684443365009e+00
-9.749999999999996447e+00	-9.054622781896911783e-42	4.755159684443365009e+00
-9.699999999999995737e+00	-2.697138624337269113e-41	4.755159684443365009e+00
-9.649999999999995026e+00	-7.983983920223526248e-41	4.755159684443365009e+00
-9.599999999999994316e+00	-2.348656574054580162e-40	4.755159684443365009e+00
-9.549999999999993605e+00	-6.865985172551023338e-40	4.755159684443365009e+00
-9.499999999999992895e+00	-1.994663697105692020e-39	4.755159684443365009e+00
-9.449999999999992184e+00	-5.758640735052819892e-39	4.755159684443365009e+00
-9.399999999999991473e+00	-1.652166323020217330e-38	4.755159684443365009e+00
-9.349999999999990763e+00	-4.710543568203941662e-38	4.755159684443365009e+00
-9.299999999999990052e+00	-1.334663438120988071e-37	4.755159684443365009e+00
-9.249999999999989342e+00	-3.757993124003608248e-37	4.755159684443365009e+00
-9.199999999999988631e+00	-1.051534867255072104e-36	4.755159684443365009e+00
-9.149999999999987921e+00	-2.923983068507532340e-36	4.755159684443365009e+00
-9.099999999999987210e+00	-8.079965533681744784e-36	4.755159684443365009e+00
-9.049999999999986500e+00	-2.218848458206098520e-35	4.755159684443365009e+00
-8.999999999999985789e+00	-6.055210632998672622e-35	4.755159684443365009e+00
-8.949999999999985079e+00	-1.642155755321860482e-34	4.755159684443365009e+00
-8.899999999999984368e+00	-4.425709641379401694e-34	4.755159684443365009e+00
-8.849999999999983658e+00	-1.185318240374731435e-33	4.755159684443365009e+00
-8.799999999999982947e+00	-3.154790298628708744e-33	4.755159684443365009e+00
-8.749999999999982236e+00	-8.344292217653953510e-33	4.755159684443365009e+00
-8.699999999999981526e+00	-2.193269462220915415e-32	4.755159684443365009e+00
-8.649999999999980815e+00	-5.728988598641719999e-32	4.755159684443365009e+00
-8.599999999999980105e+00	-1.487124755330600946e-31	4.755159684443365009e+00
-8.549999999999979394e+00	-3.836191929765752357e-31	4.755159684443365009e+00
-8.499999999999978684e+00	-9.834147788932631321e-31	4.755159684443365009e+00
-8.449999999999977973e+00	-2.505281970365690693e-30	4.755159684443365009e+00
-8.399999999999977263e+00	-6.342492674647563995e-30	4.755159684443365009e+00
-8.349999999999976552e+00	-1.595683721919822806e-29	4.755159684443365009e+00
-8.299999999999975842e+00	-3.989487733730800886e-29	4.755159684443365009e+00
-8.249999999999975131e+00	-9.912220000015353150e-29	4.755159684443365009e+00
-8.199999999999974420e+00	-2.447418339493832245e-28	4.755159684443365009e+00
-8.149999999999973710e+00	-6.005220611995941382e-28	4.755159684443365009e+00
-8.099999999999972999e+00	-1.464310586266849598e-27	4.755159684443365009e+00
-8.049999999999972289e+00	-3.548304783438690333e-27	4.755159684443365009e+00
