X	y	y_2std
-1.000000000000000000e+01	-1.023374879574193128e-44	4.690415759866069401e+00
-9.949999999999999289e+00	-3.188375003149354699e-44	4.690415759866069401e+00
-9.899999999999998579e+00	-9.870849772463759466e-44	4.690415759866069401e+00
-9.849999999999997868e+00	-3.036618212014229550e-43	4.690415759866069401e+00
-9.799999999999997158e+00	-9.282743405687564771e-43	4.690415759866069401e+00
-9.749999999999996447e+00	-2.819765565152222740e-42	4.690415759866069401e+00
-9.699999999999995737e+00	-8.511383573748876272e-42	4.690415759866069401e+00
-9.649999999999995026e+00	-2.552923649092714782e-41	4.690415759866069401e+00
-9.599999999999994316e+00	-7.608972130691198371e-41	4.690415759866069401e+00
-9.549999999999993605e+00	-2.253536848369116249e-40	4.690415759866069401e+00
-9.499999999999992895e+00	-6.632142324131211243e-40	4.690415759866069401e+00
-9.449999999999992184e+00	-1.939516660716478909e-39	4.690415759866069401e+00
-9.399999999999991473e+00	-5.636164953234038491e-39	4.690415759866069401e+00
-9.349999999999990763e+00	-1.627512672880045125e-38	4.690415759866069401e+00
-9.299999999999990052e+00	-4.669985866548116198e-38	4.690415759866069401e+00
-9.249999999999989342e+00	-1.331549319004450401e-37	4.690415759866069401e+00
-9.199999999999988631e+00	-3.772675492101450426e-37	4.690415759866069401e+00
-9.149999999999987921e+00	-1.062165395165866834e-36	4.690415759866069401e+00
-9.099999999999987210e+00	-2.971565783555702370e-36	4.690415759866069401e+00
-9.049999999999986500e+00	-8.260932110988864846e-36	4.690415759866069401e+00
-8.999999999999985789e+00	-2.282040042499422629e-35	4.690415759866069401e+00
-8.949999999999985079e+00	-6.264233987475915033e-35	4.690415759866069401e+00
-8.899999999999984368e+00	-1.708689638186979148e-34	4.690415759866069401e+00
-8.849999999999983658e+00	-4.631363871286934405e-34	4.690415759866069401e+00
-8.799999999999982947e+00	-1.247398232884878414e-33	4.690415759866069401e+00
-8.749999999999982236e+00	-3.338503600002733638e-33	4.690415759866069401e+00
-8.699999999999981526e+00	-8.878693758187746953e-33	4.690415759866069401e+00
